Sentiment,OnChain,Buy_Thresh,Sell_Thresh,Stop_Loss,Take_Profit,Trailing,Trail_Decay,Return_Pct,BH_Return,Max_DD,Sharpe,Trades,Final_Eq,Duration_Sec
True,True,0.6,0.4,0.15,0.35,True,0.15,-8.574665457089885,428.1307268139334,-31.408207460552706,-0.12666766811371213,256,9142.533454291011,18.4
True,True,0.6,0.4,0.15,0.5,True,0.15,-8.574665457089885,428.1307268139334,-31.408207460552706,-0.12666766811371213,256,9142.533454291011,19.1
True,True,0.6,0.4,0.15,0.5,True,0.05,-12.553062566093686,428.1307268139334,-33.457749133317606,-0.18943688855275798,261,8744.693743390631,18.5
True,True,0.6,0.4,0.15,0.35,True,0.05,-12.553062566093686,428.1307268139334,-33.457749133317606,-0.18943688855275798,261,8744.693743390631,18.1
True,True,0.6,0.4,0.15,0.35,True,0.1,-14.113141396913853,428.1307268139334,-35.898494188624305,-0.21489603910481464,260,8588.685860308615,18.7
True,True,0.6,0.4,0.15,0.5,True,0.1,-14.113141396913853,428.1307268139334,-35.898494188624305,-0.21489603910481464,260,8588.685860308615,18.3
True,True,0.6,0.4,0.15,0.3,False,0.15,-18.476089374023495,428.1307268139334,-37.3136565315552,-0.2994919936961649,267,8152.3910625976505,19.8
True,True,0.6,0.4,0.15,0.3,False,0.05,-18.476089374023495,428.1307268139334,-37.3136565315552,-0.2994919936961649,267,8152.3910625976505,21.4
True,True,0.6,0.4,0.15,0.3,False,0.1,-18.476089374023495,428.1307268139334,-37.3136565315552,-0.2994919936961649,267,8152.3910625976505,22.1
True,True,0.55,0.4,0.1,0.15,False,0.1,-19.493161005429446,428.07508798418627,-39.876254306860936,-0.30184390464286004,303,8050.683899457055,16.9
True,True,0.55,0.4,0.1,0.15,False,0.05,-19.493161005429446,428.10934533797484,-39.876254306860936,-0.30184390464286004,303,8050.683899457055,15.4
True,True,0.55,0.4,0.1,0.15,False,0.15,-19.493161005429446,428.10934533797484,-39.876254306860936,-0.30184390464286004,303,8050.683899457055,16.0
True,True,0.6,0.4,0.15,0.25,False,0.05,-20.22328220107421,428.1307268139334,-37.926052562233906,-0.3325911647975013,268,7977.671779892579,18.6
True,True,0.6,0.4,0.15,0.25,False,0.1,-20.22328220107421,428.1307268139334,-37.926052562233906,-0.3325911647975013,268,7977.671779892579,23.1
True,True,0.6,0.4,0.15,0.25,False,0.15,-20.22328220107421,428.1307268139334,-37.926052562233906,-0.3325911647975013,268,7977.671779892579,18.0
True,True,0.6,0.4,0.15,0.5,False,0.15,-22.89945752251965,428.1307268139334,-34.78103674599846,-0.39890530543244834,266,7710.054247748035,20.2
True,True,0.6,0.4,0.15,0.5,False,0.05,-22.89945752251965,428.1307268139334,-34.78103674599846,-0.39890530543244834,266,7710.054247748035,18.2
True,True,0.6,0.4,0.15,0.5,False,0.1,-22.89945752251965,428.1307268139334,-34.78103674599846,-0.39890530543244834,266,7710.054247748035,18.1
True,True,0.6,0.4,0.1,0.3,False,0.05,-24.072625382500018,428.1307268139334,-41.3601153064113,-0.4152439070325554,271,7592.737461749998,24.5
True,True,0.6,0.4,0.1,0.3,False,0.1,-24.072625382500018,428.1307268139334,-41.3601153064113,-0.4152439070325554,271,7592.737461749998,23.5
True,True,0.6,0.4,0.1,0.3,False,0.15,-24.072625382500018,428.1307268139334,-41.3601153064113,-0.4152439070325554,271,7592.737461749998,22.9
True,True,0.55,0.4,0.05,0.3,False,0.05,-24.698956126269785,428.7313818154777,-44.53994307369798,-0.4010623299835718,304,7530.104387373021,17.2
True,True,0.55,0.4,0.05,0.3,False,0.15,-24.698956126269785,428.7313818154777,-44.53994307369798,-0.4010623299835718,304,7530.104387373021,17.5
True,True,0.55,0.4,0.05,0.3,False,0.1,-24.698956126269785,428.7313818154777,-44.53994307369798,-0.4010623299835718,304,7530.104387373021,16.9
True,True,0.6,0.4,0.15,0.35,False,0.15,-24.790357855234397,428.1307268139334,-37.949803514292945,-0.4509925295602104,268,7520.96421447656,18.0
True,True,0.6,0.4,0.15,0.35,False,0.05,-24.790357855234397,428.1307268139334,-37.949803514292945,-0.4509925295602104,268,7520.96421447656,21.3
True,True,0.55,0.4,0.05,0.35,False,0.05,-25.469936279824267,428.2986301405269,-45.10449985504824,-0.41630890981806046,304,7453.006372017573,19.3
True,True,0.55,0.4,0.05,0.35,False,0.1,-25.469936279824267,428.5639014191779,-45.10449985504824,-0.41630890981806046,304,7453.006372017573,19.6
True,True,0.55,0.4,0.05,0.35,False,0.15,-25.469936279824267,428.2986301405269,-45.10449985504824,-0.41630890981806046,304,7453.006372017573,20.4
True,True,0.6,0.4,0.1,0.25,False,0.05,-25.65109704185542,428.1307268139334,-41.863171373425345,-0.4484927001648223,272,7434.890295814458,21.1
True,True,0.6,0.4,0.1,0.25,False,0.1,-25.65109704185542,428.1307268139334,-41.863171373425345,-0.4484927001648223,272,7434.890295814458,25.6
True,True,0.6,0.4,0.1,0.25,False,0.15,-25.65109704185542,428.1307268139334,-41.863171373425345,-0.4484927001648223,272,7434.890295814458,21.0
True,True,0.55,0.4,0.05,0.3,True,0.05,-26.32508221259763,428.7313818154777,-50.96281584210374,-0.4195198396128733,285,7367.491778740237,16.1
True,True,0.55,0.4,0.05,0.3,True,0.1,-26.32508221259763,428.7313818154777,-50.96281584210374,-0.4195198396128733,285,7367.491778740237,16.8
True,True,0.55,0.4,0.05,0.15,True,0.15,-26.32508221259763,428.7313818154777,-50.96281584210374,-0.4195198396128733,285,7367.491778740237,20.5
True,True,0.55,0.4,0.05,0.3,True,0.15,-26.32508221259763,428.7313818154777,-50.96281584210374,-0.4195198396128733,285,7367.491778740237,15.2
True,True,0.55,0.4,0.05,0.25,True,0.1,-26.333037759472628,428.67080879897077,-50.96281584210374,-0.41967585316648043,285,7366.696224052737,16.7
True,True,0.55,0.4,0.05,0.15,True,0.1,-26.34416565009763,428.586081763469,-50.96281584210374,-0.4198940716017176,285,7365.583434990237,20.4
True,True,0.55,0.4,0.05,0.15,True,0.05,-26.34416565009763,428.586081763469,-50.96281584210374,-0.4198940716017176,285,7365.583434990237,20.2
True,True,0.55,0.4,0.05,0.25,True,0.05,-26.347078775097625,428.5639014191779,-50.96281584210374,-0.4199511967805145,285,7365.2921224902375,17.6
True,True,0.55,0.4,0.05,0.25,True,0.15,-26.347078775097625,428.5639014191779,-50.96281584210374,-0.4199511967805145,285,7365.2921224902375,19.0
True,True,0.55,0.4,0.05,0.35,True,0.1,-26.381919009472632,428.2986301405269,-50.96281584210374,-0.4206343560141332,285,7361.808099052737,21.1
True,True,0.55,0.4,0.05,0.35,True,0.05,-26.400008775097632,428.16089584154963,-50.96281584210374,-0.42098903432189294,285,7359.999122490237,19.7
True,True,0.55,0.4,0.05,0.35,True,0.15,-26.400008775097632,428.16089584154963,-50.96281584210374,-0.42098903432189294,285,7359.999122490237,19.9
True,True,0.55,0.4,0.05,0.5,True,0.1,-26.41127861884763,428.07508798418627,-50.96281584210374,-0.42120998610642235,285,7358.872138115237,19.0
True,True,0.55,0.4,0.05,0.5,True,0.15,-26.41127861884763,428.07508798418627,-50.96281584210374,-0.42120998610642235,285,7358.872138115237,18.7
True,True,0.55,0.4,0.05,0.5,True,0.05,-26.41127861884763,428.07508798418627,-50.96281584210374,-0.42120998610642235,285,7358.872138115237,16.6
True,True,0.55,0.4,0.05,0.15,False,0.15,-26.592418207753965,428.586081763469,-44.59270793592873,-0.438950617904762,306,7340.758179224604,20.5
True,True,0.55,0.4,0.05,0.15,False,0.1,-26.592418207753965,428.5467492461562,-44.59270793592873,-0.438950617904762,306,7340.758179224604,20.1
True,True,0.55,0.4,0.05,0.15,False,0.05,-26.592418207753965,428.5467492461562,-44.59270793592873,-0.438950617904762,306,7340.758179224604,20.3
True,True,0.6,0.4,0.05,0.15,False,0.1,-27.42990003667992,428.1307268139334,-48.55527777765881,-0.45932697775370307,279,7257.009996332008,21.7
True,True,0.6,0.4,0.05,0.15,False,0.15,-27.42990003667992,428.1307268139334,-48.55527777765881,-0.45932697775370307,279,7257.009996332008,24.0
True,True,0.6,0.4,0.05,0.15,False,0.05,-27.42990003667992,428.1307268139334,-48.55527777765881,-0.45932697775370307,279,7257.009996332008,22.2
True,True,0.6,0.4,0.1,0.15,False,0.15,-27.602432167050754,428.1307268139334,-49.35098927871557,-0.46111873269479736,276,7239.756783294924,20.8
True,True,0.6,0.4,0.1,0.15,False,0.05,-27.602432167050754,428.1307268139334,-49.35098927871557,-0.46111873269479736,276,7239.756783294924,17.9
True,True,0.6,0.4,0.1,0.15,False,0.1,-27.602432167050754,428.1307268139334,-49.35098927871557,-0.46111873269479736,276,7239.756783294924,18.0
True,True,0.55,0.4,0.05,0.25,False,0.15,-28.334837234296618,428.67080879897077,-44.53233439112475,-0.47503151577855757,306,7166.516276570338,16.7
True,True,0.55,0.4,0.05,0.25,False,0.05,-28.334837234296618,428.67080879897077,-44.53233439112475,-0.47503151577855757,306,7166.516276570338,16.6
True,True,0.55,0.4,0.05,0.25,False,0.1,-28.334837234296618,428.67080879897077,-44.53233439112475,-0.47503151577855757,306,7166.516276570338,16.5
True,True,0.6,0.4,0.15,0.15,False,0.05,-28.399338513574314,428.1307268139334,-44.27750906578536,-0.4997480545760006,269,7160.066148642569,20.4
True,True,0.6,0.4,0.15,0.15,False,0.15,-28.399338513574314,428.1307268139334,-44.27750906578536,-0.4997480545760006,269,7160.066148642569,20.8
True,True,0.6,0.4,0.15,0.15,False,0.1,-28.399338513574314,428.1307268139334,-44.27750906578536,-0.4997480545760006,269,7160.066148642569,23.4
True,True,0.6,0.4,0.1,0.5,False,0.1,-28.855131822636732,428.1307268139334,-42.56410302107071,-0.5178922460542954,268,7114.486817736327,23.1
True,True,0.6,0.4,0.1,0.5,False,0.05,-28.855131822636732,428.1307268139334,-42.56410302107071,-0.5178922460542954,268,7114.486817736327,19.7
True,True,0.6,0.4,0.1,0.5,False,0.15,-28.855131822636732,428.1307268139334,-42.56410302107071,-0.5178922460542954,268,7114.486817736327,23.9
True,True,0.6,0.4,0.15,0.35,False,0.1,-29.401436983691326,428.1307268139334,-38.508042732667555,-0.5322654413735339,266,7059.856301630867,18.2
True,True,0.6,0.4,0.05,0.3,False,0.05,-29.526477126835786,428.1307268139334,-42.61450981056972,-0.5047046340005038,277,7047.352287316421,22.0
True,True,0.6,0.4,0.05,0.3,False,0.1,-29.526477126835786,428.1307268139334,-42.61450981056972,-0.5047046340005038,277,7047.352287316421,21.2
True,True,0.6,0.4,0.05,0.25,False,0.15,-29.526477126835786,428.1307268139334,-42.61450981056972,-0.5047046340005038,277,7047.352287316421,24.7
True,True,0.6,0.4,0.05,0.3,False,0.15,-29.526477126835786,428.1307268139334,-42.61450981056972,-0.5047046340005038,277,7047.352287316421,25.1
True,True,0.6,0.4,0.05,0.25,False,0.1,-29.526477126835786,428.1307268139334,-42.61450981056972,-0.5047046340005038,277,7047.352287316421,21.2
True,True,0.6,0.4,0.05,0.25,False,0.05,-29.526477126835786,428.1307268139334,-42.61450981056972,-0.5047046340005038,277,7047.352287316421,25.0
True,True,0.6,0.4,0.05,0.35,False,0.05,-30.22918503921882,428.1307268139334,-43.20495439318381,-0.5200366381332876,276,6977.081496078118,23.0
True,True,0.6,0.4,0.05,0.35,False,0.15,-30.22918503921882,428.1307268139334,-43.20495439318381,-0.5200366381332876,276,6977.081496078118,20.9
True,True,0.6,0.4,0.05,0.35,False,0.1,-30.22918503921882,428.1307268139334,-43.20495439318381,-0.5200366381332876,276,6977.081496078118,24.6
True,True,0.6,0.4,0.05,0.3,True,0.15,-31.83305861115245,428.1307268139334,-49.22469704048702,-0.5427433005402751,264,6816.694138884755,28.4
True,True,0.6,0.4,0.05,0.5,True,0.15,-31.83305861115245,428.1307268139334,-49.22469704048702,-0.5427433005402751,264,6816.694138884755,20.7
True,True,0.6,0.4,0.05,0.35,True,0.15,-31.83305861115245,428.1307268139334,-49.22469704048702,-0.5427433005402751,264,6816.694138884755,25.0
True,True,0.6,0.4,0.05,0.15,True,0.15,-31.83305861115245,428.1307268139334,-49.22469704048702,-0.5427433005402751,264,6816.694138884755,22.3
True,True,0.6,0.4,0.05,0.25,True,0.15,-31.83305861115245,428.1307268139334,-49.22469704048702,-0.5427433005402751,264,6816.694138884755,24.9
True,True,0.6,0.4,0.05,0.35,True,0.1,-31.91010871400377,428.1307268139334,-49.141273028540375,-0.5446788519204752,265,6808.989128599623,22.0
True,True,0.6,0.4,0.05,0.35,True,0.05,-31.91010871400377,428.1307268139334,-49.141273028540375,-0.5446788519204752,265,6808.989128599623,22.1
True,True,0.6,0.4,0.05,0.5,True,0.05,-31.91010871400377,428.1307268139334,-49.141273028540375,-0.5446788519204752,265,6808.989128599623,19.4
True,True,0.6,0.4,0.05,0.25,True,0.05,-31.91010871400377,428.1307268139334,-49.141273028540375,-0.5446788519204752,265,6808.989128599623,22.3
True,True,0.6,0.4,0.05,0.15,True,0.1,-31.91010871400377,428.1307268139334,-49.141273028540375,-0.5446788519204752,265,6808.989128599623,19.6
True,True,0.6,0.4,0.05,0.3,True,0.1,-31.91010871400377,428.1307268139334,-49.141273028540375,-0.5446788519204752,265,6808.989128599623,21.3
True,True,0.6,0.4,0.05,0.15,True,0.05,-31.91010871400377,428.1307268139334,-49.141273028540375,-0.5446788519204752,265,6808.989128599623,20.8
