Sentiment,OnChain,Buy_Thresh,Sell_Thresh,Stop_Loss,Take_Profit,Trailing,Trail_Decay,Return_Pct,BH_Return,Max_DD,Sharpe,Trades,Final_Eq,Duration_Sec
True,True,0.55,0.4,0.15,0.35,True,0.1,15.927749827363385,428.1307268139334,-35.685219133685756,0.1856506070354817,279,11592.774982736339,18.0
True,True,0.55,0.4,0.15,0.5,True,0.1,15.927749827363385,428.1307268139334,-35.685219133685756,0.1856506070354817,279,11592.774982736339,21.4
True,True,0.55,0.4,0.1,0.5,True,0.1,15.927749827363385,428.1307268139334,-35.685219133685756,0.1856506070354817,279,11592.774982736339,19.4
True,True,0.55,0.4,0.15,0.15,True,0.1,15.927749827363385,428.1307268139334,-35.685219133685756,0.1856506070354817,279,11592.774982736339,18.2
True,True,0.55,0.4,0.15,0.25,True,0.1,15.927749827363385,428.1307268139334,-35.685219133685756,0.1856506070354817,279,11592.774982736339,18.2
True,True,0.55,0.4,0.15,0.3,True,0.1,15.927749827363385,428.1307268139334,-35.685219133685756,0.1856506070354817,279,11592.774982736339,18.6
True,True,0.55,0.4,0.15,0.25,False,0.1,-9.727071571543073,428.1307268139334,-38.73675257944637,-0.13827211428555827,293,9027.292842845693,18.3
True,True,0.55,0.4,0.15,0.3,False,0.1,-11.07661991769548,428.1307268139334,-38.172472100384084,-0.1591220600880744,294,8892.338008230452,20.6
True,True,0.55,0.4,0.15,0.5,False,0.1,-13.856098862949112,428.1307268139334,-37.981089898137476,-0.20157899936491308,292,8614.390113705089,18.7
True,True,0.55,0.4,0.15,0.15,False,0.1,-15.95057568583992,428.1307268139334,-43.3189441024696,-0.2374686511524825,295,8404.942431416008,20.0
True,True,0.55,0.4,0.15,0.35,False,0.1,-17.571763571718858,428.1307268139334,-40.940107364925915,-0.2668037659735095,294,8242.823642828114,18.0
True,True,0.55,0.4,0.05,0.3,False,0.1,-20.757617998886737,428.1307268139334,-43.396539451471824,-0.31788035026873496,313,7924.2382001113265,20.7
True,True,0.55,0.4,0.1,0.3,False,0.1,-21.935492824902305,428.1307268139334,-45.56344502216637,-0.3381771607582866,310,7806.45071750977,19.9
True,True,0.55,0.4,0.05,0.35,False,0.1,-22.280073303632815,428.1307268139334,-43.50772286471427,-0.3452166669501389,311,7771.992669636718,20.9
True,True,0.55,0.4,0.05,0.35,True,0.1,-23.1434888555857,428.1307268139334,-44.99688691365037,-0.3516150682202043,289,7685.65111444143,21.0
True,True,0.55,0.4,0.05,0.25,True,0.1,-23.1434888555857,428.1307268139334,-44.99688691365037,-0.3516150682202043,289,7685.65111444143,22.3
True,True,0.55,0.4,0.05,0.15,True,0.1,-23.1434888555857,428.1307268139334,-44.99688691365037,-0.3516150682202043,289,7685.65111444143,21.5
True,True,0.55,0.4,0.05,0.5,True,0.1,-23.1434888555857,428.1307268139334,-44.99688691365037,-0.3516150682202043,289,7685.65111444143,21.4
True,True,0.55,0.4,0.05,0.3,True,0.1,-23.1434888555857,428.1307268139334,-44.99688691365037,-0.3516150682202043,289,7685.65111444143,21.2
True,True,0.55,0.4,0.1,0.35,False,0.1,-23.2361021143358,428.1307268139334,-45.57013715678665,-0.3619960324536242,308,7676.38978856642,18.3
True,True,0.55,0.4,0.05,0.25,False,0.1,-24.059807551249886,428.1307268139334,-43.81758165999761,-0.3790858042813906,314,7594.019244875011,21.2
True,True,0.55,0.4,0.1,0.35,True,0.1,-24.448827981640278,428.1307268139334,-46.71729968582034,-0.37448741253054635,288,7555.117201835972,18.2
True,True,0.55,0.4,0.1,0.25,True,0.1,-24.448827981640278,428.1307268139334,-46.71729968582034,-0.37448741253054635,288,7555.117201835972,20.3
True,True,0.55,0.4,0.1,0.15,True,0.1,-24.448827981640278,428.1307268139334,-46.71729968582034,-0.37448741253054635,288,7555.117201835972,20.2
True,True,0.55,0.4,0.1,0.3,True,0.1,-24.448827981640278,428.1307268139334,-46.71729968582034,-0.37448741253054635,288,7555.117201835972,19.4
True,True,0.55,0.4,0.1,0.25,False,0.1,-25.09993914683617,428.1307268139334,-45.88942943141188,-0.39795051851324176,311,7490.006085316383,18.5
True,True,0.6,0.4,0.15,0.15,False,0.1,-26.479056616269652,428.1307268139334,-47.12120286010594,-0.44282937805361733,274,7352.094338373035,22.6
True,True,0.6,0.4,0.05,0.15,False,0.1,-27.42990003667992,428.1307268139334,-48.55527777765881,-0.45932697775370307,279,7257.009996332008,20.0
True,True,0.6,0.4,0.1,0.15,False,0.1,-27.602432167050754,428.1307268139334,-49.35098927871557,-0.46111873269479736,276,7239.756783294924,21.3
True,True,0.6,0.4,0.05,0.3,False,0.1,-29.526477126835786,428.1307268139334,-42.61450981056972,-0.5047046340005038,277,7047.352287316421,23.3
True,True,0.6,0.4,0.05,0.25,False,0.1,-29.526477126835786,428.1307268139334,-42.61450981056972,-0.5047046340005038,277,7047.352287316421,20.1
True,True,0.6,0.4,0.1,0.25,False,0.1,-29.53891263316408,428.1307268139334,-43.39833486911575,-0.5029247233358217,274,7046.108736683592,24.9
True,True,0.6,0.4,0.1,0.3,False,0.1,-29.53891263316408,428.1307268139334,-43.39833486911575,-0.5029247233358217,274,7046.108736683592,28.9
True,True,0.55,0.4,0.1,0.5,False,0.1,-29.86735681123045,428.1307268139334,-46.70993245306205,-0.4867845759558759,304,7013.264318876955,17.9
True,True,0.6,0.4,0.05,0.35,False,0.1,-30.22918503921882,428.1307268139334,-43.20495439318381,-0.5200366381332876,276,6977.081496078118,21.9
True,True,0.6,0.4,0.1,0.35,False,0.1,-30.286367668945367,428.1307268139334,-44.01692184150161,-0.5186302995959109,273,6971.363233105463,22.6
True,True,0.55,0.4,0.05,0.15,False,0.1,-30.50293773746088,428.1307268139334,-48.53606615922158,-0.5083910343944257,315,6949.706226253912,22.3
True,True,0.6,0.4,0.15,0.3,False,0.1,-30.555680669297043,428.1307268139334,-41.036765845180526,-0.5298571356199897,272,6944.431933070296,22.0
True,True,0.6,0.4,0.15,0.25,False,0.1,-30.555680669297043,428.1307268139334,-41.036765845180526,-0.5298571356199897,272,6944.431933070296,25.0
True,True,0.6,0.4,0.15,0.35,False,0.1,-31.252037116836007,428.1307268139334,-41.61597786748344,-0.545312525657988,272,6874.796288316399,22.3
True,True,0.65,0.4,0.15,0.5,False,0.1,-31.40658197998049,428.4871630670013,-50.144326438773724,-0.6322139833612617,229,6859.341802001951,22.7
True,True,0.55,0.4,0.1,0.15,False,0.1,-31.41725865507815,428.1307268139334,-50.4317434453463,-0.52686062093115,312,6858.274134492185,21.7
True,True,0.6,0.4,0.05,0.15,True,0.1,-31.91010871400377,428.1307268139334,-49.141273028540375,-0.5446788519204752,265,6808.989128599623,20.9
True,True,0.6,0.4,0.05,0.5,True,0.1,-31.91010871400377,428.1307268139334,-49.141273028540375,-0.5446788519204752,265,6808.989128599623,25.1
True,True,0.6,0.4,0.05,0.3,True,0.1,-31.91010871400377,428.1307268139334,-49.141273028540375,-0.5446788519204752,265,6808.989128599623,23.6
True,True,0.6,0.4,0.05,0.25,True,0.1,-31.91010871400377,428.1307268139334,-49.141273028540375,-0.5446788519204752,265,6808.989128599623,20.8
True,True,0.6,0.4,0.05,0.35,True,0.1,-31.91010871400377,428.1307268139334,-49.141273028540375,-0.5446788519204752,265,6808.989128599623,21.1
True,True,0.6,0.4,0.15,0.25,True,0.1,-32.21613492187509,428.1307268139334,-49.894988430067386,-0.5486838447384325,264,6778.386507812491,24.0
True,True,0.6,0.4,0.1,0.5,True,0.1,-32.21613492187509,428.1307268139334,-49.894988430067386,-0.5486838447384325,264,6778.386507812491,24.5
True,True,0.6,0.4,0.15,0.15,True,0.1,-32.21613492187509,428.1307268139334,-49.894988430067386,-0.5486838447384325,264,6778.386507812491,21.3
True,True,0.6,0.4,0.1,0.25,True,0.1,-32.21613492187509,428.1307268139334,-49.894988430067386,-0.5486838447384325,264,6778.386507812491,24.8
True,True,0.6,0.4,0.1,0.15,True,0.1,-32.21613492187509,428.1307268139334,-49.894988430067386,-0.5486838447384325,264,6778.386507812491,22.7
True,True,0.6,0.4,0.1,0.3,True,0.1,-32.21613492187509,428.1307268139334,-49.894988430067386,-0.5486838447384325,264,6778.386507812491,21.2
