Sentiment,OnChain,Buy_Thresh,Sell_Thresh,Stop_Loss,Take_Profit,Trailing,Trail_Decay,Return_Pct,BH_Return,Max_DD,Sharpe,Trades,Final_Eq,Duration_Sec
True,True,0.55,0.4,0.15,0.15,False,0.05,-11.356652817734266,428.586081763469,-35.7344039373246,-0.16702993823829881,300,8864.334718226573,20.3
True,True,0.55,0.4,0.15,0.15,False,0.1,-11.356652817734266,428.586081763469,-35.7344039373246,-0.16702993823829881,300,8864.334718226573,21.0
True,True,0.55,0.4,0.15,0.15,False,0.15,-11.356652817734266,428.586081763469,-35.7344039373246,-0.16702993823829881,300,8864.334718226573,20.0
True,True,0.55,0.4,0.15,0.25,False,0.1,-12.890090528730488,428.7313818154777,-35.6858349478829,-0.19177632029751834,300,8710.990947126951,18.2
True,True,0.55,0.4,0.15,0.25,False,0.05,-12.890090528730488,428.7313818154777,-35.6858349478829,-0.19177632029751834,300,8710.990947126951,18.6
True,True,0.55,0.4,0.15,0.25,False,0.15,-12.890090528730488,428.7313818154777,-35.6858349478829,-0.19177632029751834,300,8710.990947126951,17.1
True,True,0.55,0.4,0.15,0.3,False,0.15,-14.100476280761887,428.5639014191779,-35.76801331357796,-0.2118531551219055,299,8589.952371923811,20.6
True,True,0.55,0.4,0.15,0.3,False,0.05,-14.100476280761887,428.5639014191779,-35.76801331357796,-0.2118531551219055,299,8589.952371923811,19.4
True,True,0.55,0.4,0.15,0.3,False,0.1,-14.100476280761887,428.67080879897077,-35.76801331357796,-0.2118531551219055,299,8589.952371923811,17.7
True,True,0.55,0.4,0.15,0.35,False,0.1,-15.102437873769906,428.2986301405269,-36.51620405071072,-0.2286036996375156,299,8489.75621262301,21.4
True,True,0.55,0.4,0.15,0.35,False,0.05,-15.102437873769906,428.16089584154963,-36.51620405071072,-0.2286036996375156,299,8489.75621262301,19.8
True,True,0.55,0.4,0.15,0.35,False,0.15,-15.102437873769906,428.16089584154963,-36.51620405071072,-0.2286036996375156,299,8489.75621262301,19.9
True,True,0.55,0.4,0.05,0.3,False,0.05,-16.88061693216805,428.61860040382805,-38.02886503828938,-0.26700937133439756,301,8311.938306783195,17.9
True,True,0.55,0.4,0.05,0.3,False,0.1,-16.88061693216805,428.61860040382805,-38.02886503828938,-0.26700937133439756,301,8311.938306783195,17.7
True,True,0.55,0.4,0.05,0.3,False,0.15,-16.88061693216805,428.61860040382805,-38.02886503828938,-0.26700937133439756,301,8311.938306783195,20.3
